nconst,primaryName,birthYear,deathYear,primaryProfession,knownForTitles
nm0000641,Gary Sinise,1955,\N,"actor,producer,director","tt0109830,tt0112384,tt0117438,tt0105046"
nm0000725,Joey Lauren Adams,1968,\N,"actress,soundtrack,director","tt0106677,tt0118842,tt0142342,tt2996684"
nm0000454,Dennis Hopper,1936,2010,"actor,director,writer","tt0064276,tt0111257,tt0090756,tt0114898"
nm0005420,Marley Shelton,1974,\N,actress,"tt0258470,tt0151738,tt1028528,tt1077258"
nm0347957,Devon Gummersall,\N,\N,"actor,director,writer","tt0804503,tt2281375,tt0108872,tt3639656"
nm0001735,Talia Shire,1946,\N,"actress,producer,director","tt0100507,tt0075148,tt0068646,tt0089927"
nm0332871,Govinda,1963,\N,"actor,music_department,producer","tt0807758,tt3017412,tt2556308,tt0101616"
nm0007102,Tabu,1970,\N,"actress,music_department","tt3390572,tt4430212,tt8108198,tt0454876"
nm0006433,Karisma Kapoor,1974,\N,"actress,music_department","tt0248012,tt0118983,tt0255713,tt0331639"
nm0579769,Shweta Menon,1974,\N,"actress,music_department,soundtrack","tt0133024,tt0379370,tt1573478,tt1988774"
nm0009629,Stefano Accorsi,1971,\N,"actor,writer,director","tt0274497,tt3270896,tt10256570,tt4300480"
nm0210218,Maria de Medeiros,1965,\N,"actress,director,writer","tt0112304,tt0110912,tt0120626,tt0466456"
nm0021835,Joaquim de Almeida,1957,\N,"actor,editorial_department,producer","tt0112851,tt1596343,tt0159273,tt0109444"
nm0682692,Frédéric Pierrot,1960,\N,"actor,camera_department","tt1661420,tt0308595,tt8669342,tt2752200"
nm0635070,Lars Nordh,1936,\N,actor,"tt0120263,tt2287741,tt7019958,tt0295006"
nm0489281,Stefan Larsson,1964,\N,"actor,director,writer","tt0120263,tt1839506,tt6793198,tt8790670"
nm0138061,Bengt C.W. Carlsson,1948,\N,actor,"tt0120263,tt2602070,tt2070803,tt1568346"
nm0265229,Torbjörn Fahlström,1937,\N,actor,tt0120263
nm0001111,Jeremy Davies,1969,\N,actor,"tt0274812,tt0120815,tt0307479,tt0117998"
nm0000170,Milla Jovovich,1975,\N,"actress,soundtrack,producer","tt0120804,tt1220198,tt1220634,tt0119116"
nm0000154,Mel Gibson,1956,\N,"actor,producer,director","tt0104714,tt0117438,tt0118883,tt0112573"
nm0001751,Jimmy Smits,1955,\N,"actor,producer,soundtrack","tt0106079,tt1321510,tt3748528,tt0121766"
nm0000154,Mel Gibson,1956,\N,"actor,producer,director","tt0104714,tt0117438,tt0118883,tt0112573"
nm0768018,Julia Sawalha,1968,\N,"actress,soundtrack","tt1077744,tt2112096,tt0112130,tt0120630"
nm0200057,Phil Daniels,1958,\N,"actor,soundtrack,music_department","tt0120630,tt0260658,tt0079766,tt0079871"
nm0272521,Lynn Ferguson,1965,\N,"writer,actress,director","tt0276856,tt0301494,tt0120630,tt8337264"
nm0565569,Stephen McHattie,1947,\N,"actor,director,soundtrack","tt0409459,tt1226681,tt0414993,tt0475944"
nm0364977,Laura Harris,1976,\N,"actress,producer,soundtrack","tt0348913,tt0310281,tt0133751,tt0285331"
nm0000594,Jason Priestley,1969,\N,"actor,producer,director","tt5722298,tt1558182,tt0098749,tt2334593"
nm0941315,Gordon Michael Woolvett,1970,\N,"actor,director,writer","tt5645142,tt0339651,tt0884070,tt0213327"
nm0000141,David Duchovny,1960,\N,"actor,producer,director","tt0106179,tt0904208,tt0251075,tt0120902"
nm0000378,Minnie Driver,1970,\N,"actress,soundtrack,producer","tt5592146,tt0112679,tt0119217,tt0496343"
nm0005279,Carroll O'Connor,1924,2001,"actor,soundtrack,music_department","tt0094484,tt0066626,tt0078562,tt0122459"
nm0005162,Robert Loggia,1930,2015,"actor,director,soundtrack","tt0116922,tt0086250,tt0094737,tt0116629"
nm0001082,Billy Crudup,1968,\N,"actor,producer,soundtrack","tt0181875,tt0319061,tt0409459,tt4385888"
nm1123814,Bill Haugland,\N,\N,actor,"tt1674692,tt0289658,tt0127349,tt0089409"
nm0485011,Nelson Landrieu,1949,2019,actor,"tt4019560,tt0156934,tt0373926,tt0062595"
nm0171583,Ivonne Coll,1947,\N,"actress,producer,director","tt7203470,tt1567432,tt0071562,tt0128278"
nm0000665,D.B. Sweeney,\N,\N,"actor,soundtrack,director","tt10128846,tt0104040,tt0463963,tt0106912"
nm0000523,Julianna Margulies,1966,\N,"actress,producer,soundtrack","tt1174730,tt0417148,tt0108757,tt0288477"
nm0942787,Samuel E. Wright,1946,2021,"actor,soundtrack,music_department","tt0094747,tt0097757,tt0130623,tt0240684"
nm0005569,Alfre Woodard,1952,\N,"actress,producer,soundtrack","tt0272152,tt2024544,tt3322940,tt0117731"
nm0507271,Huey Lewis,1950,\N,"soundtrack,actor,composer","tt0910936,tt0120885,tt0088763,tt0108122"
nm0000569,Gwyneth Paltrow,1972,\N,"actress,producer,soundtrack","tt0116191,tt0138097,tt1300854,tt0120148"
nm0316079,Paul Giamatti,1967,\N,"actor,producer,soundtrack","tt0375063,tt14849194,tt0352248,tt0305206"
nm0105672,Andre Braugher,1962,2023,"actor,producer,director","tt0106028,tt0186151,tt0120632,tt0884328"
nm0320547,Carmine Giovinazzo,1973,\N,"actor,soundtrack,writer","tt0126916,tt12311620,tt0395843,tt0265086"
nm0274371,Louis Ferreira,1966,\N,"actor,producer,miscellaneous","tt0903747,tt2443340,tt6423364,tt1286039"
nm0000947,Karen Black,1939,2013,"actress,soundtrack,writer","tt0071577,tt0065724,tt0251736,tt0073440"
nm0648846,Peter Onorati,1953,\N,"actor,soundtrack,writer","tt0098772,tt0099685,tt0423372,tt5555260"
nm0380231,Blake Heron,1982,2017,"actor,camera_department,cinematographer","tt0277434,tt0112302,tt0331811,tt0120118"
nm0553436,A Martinez,\N,\N,"actor,writer,producer","tt9018736,tt4998632,tt1836037,tt15017118"
nm0575184,Russell Means,1939,2012,"actor,soundtrack,producer","tt0446013,tt0104691,tt0114148,tt0110632"
nm0836071,Wes Studi,1947,\N,"actor,producer,soundtrack","tt0118956,tt0104691,tt0113277,tt0132347"
nm0001606,Chris Penn,1965,2006,"actor,producer,soundtrack","tt0108122,tt0108399,tt0087277,tt0105236"
nm0942482,Jeffrey Wright,1965,\N,"actor,producer,soundtrack","tt1877830,tt8847712,tt0412019,tt23561236"
nm0220867,Anthony DeSando,1965,\N,"actor,soundtrack","tt0102614,tt2241351,tt0473488,tt0114095"
nm0000145,Sherilyn Fenn,1965,\N,"actress,soundtrack","tt0098936,tt0106471,tt0100935,tt0105046"
nm0562924,Whitman Mayo,1930,2001,"actor,soundtrack","tt0068128,tt0079510,tt0088533,tt0101507"
nm0333318,April Grace,\N,\N,"actress,producer","tt0212720,tt0480249,tt1951266,tt0175880"
nm0000608,Burt Reynolds,1936,2018,"actor,director,producer","tt0117765,tt0082136,tt0076729,tt0118749"
nm0245652,Cordereau Dye,1987,\N,actor,"tt0138927,tt0196603,tt0196751,tt0240340"
nm2847556,Melvin Abston,1974,\N,actor,"tt0413573,tt0203259,tt1595859,tt0439100"
nm0000242,Mark Wahlberg,1971,\N,"producer,actor,soundtrack","tt0407887,tt0964517,tt0118749,tt1637725"
nm0001618,Joaquin Phoenix,1974,\N,"actor,producer,writer","tt1560747,tt0172495,tt0358273,tt1798709"
nm0000234,Charlize Theron,1975,\N,"producer,actress,soundtrack","tt1392190,tt5610554,tt0340855,tt1735898"
nm0001001,James Caan,1940,2022,"actor,soundtrack,director","tt0083190,tt0073631,tt0068646,tt0100157"
nm0001375,Kim Hunter,1922,2002,"actress,soundtrack","tt0063442,tt0067065,tt0065462,tt0044081"
nm0000961,Timothy Bottoms,1951,\N,"actor,producer","tt0067277,tt0067328,tt0070509,tt0363589"
nm0002114,Kim Greist,1958,\N,"actress,art_department","tt0094142,tt0107131,tt0091474,tt0088846"
nm0353232,Katie Hagan,1989,\N,actress,"tt0118437,tt0119522,tt0120647,tt0120211"
nm0239152,Vanda Duarte,\N,\N,actress,"tt0460480,tt0139500,tt0119844"
nm1967370,Lena Duarte,\N,\N,,tt0139500
nm0239155,Zita Duarte,1944,2000,"actress,producer","tt0950601,tt0059115,tt0085759,tt0062250"
nm4740347,Manuel Gomes Miranda,\N,\N,,tt0139500
nm0000541,Bette Midler,1945,\N,"soundtrack,actress,producer","tt0091877,tt0107120,tt0094715,tt0116313"
nm0001447,Nathan Lane,1956,\N,"actor,soundtrack,producer","tt0110357,tt0395251,tt0119715,tt0115685"
nm0000330,Stockard Channing,1944,\N,"actress,soundtrack","tt0120791,tt0198021,tt0077631,tt0108149"
nm0001383,David Hyde Pierce,1959,\N,"actor,soundtrack,writer","tt0309530,tt0243655,tt0120623,tt0106004"
nm0379714,Sophia Adella Luke,1971,\N,actress,"tt0143344,tt0232015,tt0360009,tt0134269"
nm0951278,Eduardo Yáñez,1960,\N,actor,"tt0330793,tt0117765,tt0120890,tt0328107"
nm0686470,Tony Plana,1952,\N,"actor,director,producer","tt6000478,tt0092086,tt0805669,tt5715524"
nm0934902,Paul Winfield,1939,2004,"actor,miscellaneous,soundtrack","tt0116996,tt0088247,tt0084726,tt0096071"
nm0001287,Heather Graham,1970,\N,"actress,producer,soundtrack","tt0118749,tt0131325,tt0120738,tt0145660"
nm0000729,Casey Affleck,1975,\N,"actor,producer,writer","tt6265828,tt4034228,tt0443680,tt6063090"
nm0005561,Luke Wilson,1971,\N,"actor,producer,director","tt0302886,tt0115734,tt0452702,tt0265666"
nm0899681,Goran Visnjic,1972,\N,"actor,producer,soundtrack","tt0108757,tt2193215,tt1568346,tt1532503"
nm0000288,Christian Bale,1974,\N,"actor,producer,soundtrack","tt0372784,tt0144084,tt0964517,tt0468569"
nm0857620,Justin Theroux,1971,\N,"actor,producer,writer","tt0144084,tt1240982,tt3631112,tt0166924"
nm0524197,Josh Lucas,1971,\N,"actor,producer,cinematographer","tt4236770,tt0256415,tt1950186,tt0385726"
nm0756083,Bill Sage,1962,\N,"actor,producer","tt9110170,tt0370986,tt0144084,tt0181984"
nm6454259,Pearon Hampton,\N,\N,actor,tt0142155
nm1026113,Chad Lindsey,1975,\N,actor,"tt0142155,tt0339071,tt0357248,tt0367097"
nm1086610,Benjamin Sprunger,\N,\N,actor,"tt2805096,tt0367097,tt0157246,tt0426402"
nm1087332,Paul Stovall,\N,\N,actor,tt0142155
nm1087229,Robert Mello,\N,\N,"actor,writer,producer","tt6483832,tt17007120,tt1270797,tt13729648"
nm6454258,Bianca Blair,\N,\N,actress,tt0142155
nm5796166,Karen Christopher,\N,\N,actor,tt0142155
nm3046066,Maggie Parto,\N,\N,"actress,sound_department,producer","tt7587890,tt3850598,tt10059166,tt11242246"
nm0000126,Kevin Costner,1955,\N,"actor,producer,soundtrack","tt0119925,tt0102798,tt0103855,tt0099348"
nm0339304,Bruce Greenwood,1956,\N,"actor,soundtrack,producer","tt0796366,tt0343818,tt1408101,tt0146309"
nm0238057,Shawn Driscoll,\N,\N,"actor,producer,miscellaneous","tt0146309,tt0364828,tt1630029,tt0120570"
nm0177020,Drake Cook,\N,\N,actor,tt0146309
nm0000131,John Cusack,1966,\N,"actor,producer,writer","tt0098258,tt0146882,tt0450385,tt0119229"
nm0005013,Iben Hjejle,1971,\N,"actress,writer","tt1034303,tt0164756,tt0146882,tt0282768"
nm0521974,Todd Louiso,1970,\N,"actor,director,writer","tt2884018,tt0146882,tt2063666,tt0116695"
nm0085312,Jack Black,1969,\N,"actor,producer,soundtrack","tt0360717,tt0457510,tt0146882,tt0332379"
nm0000226,Will Smith,1968,\N,"producer,actor,soundtrack","tt0116629,tt0098800,tt0480249,tt0119654"
nm0000354,Matt Damon,1970,\N,"producer,actor,soundtrack","tt0119217,tt3659388,tt0407887,tt0134119"
nm0000234,Charlize Theron,1975,\N,"producer,actress,soundtrack","tt1392190,tt5610554,tt0340855,tt1735898"
nm0569226,Bruce McGill,1950,\N,"actor,soundtrack","tt1197624,tt0111438,tt0077975,tt0140352"
nm0000800,Armand Assante,1949,\N,"actor,soundtrack,producer","tt0104802,tt0116441,tt0113492,tt0765429"
nm0893204,Diane Venora,1952,\N,"actress,producer","tt0113277,tt0119395,tt0117509,tt0094747"
nm0341055,Joe Grifasi,1944,\N,actor,"tt0112462,tt0077416,tt0100404,tt0110632"
nm0556985,Tom Mason,1949,\N,actor,"tt0163187,tt0078788,tt0418689,tt0118437"
nm0000354,Matt Damon,1970,\N,"producer,actor,soundtrack","tt0119217,tt3659388,tt0407887,tt0134119"
nm0004851,Penélope Cruz,1974,\N,"actress,soundtrack,producer","tt0497465,tt1298650,tt0441909,tt0259711"
nm0001794,Henry Thomas,1971,\N,"actor,producer,soundtrack","tt0217505,tt0083866,tt0110322,tt0331811"
nm0129583,Angelina Torres,\N,\N,actress,"tt0419294,tt0120877,tt0338188,tt0119141"
nm0000056,Paul Newman,1925,2008,"actor,producer,director","tt0257044,tt0084855,tt0110684,tt0054997"
nm0000400,Linda Fiorentino,1958,\N,"actress,soundtrack","tt0119654,tt0120655,tt0088680,tt0110308"
nm0000551,Dermot Mulroney,1963,\N,"actor,soundtrack,music_department","tt1322269,tt0119738,tt0096487,tt0356680"
nm0055794,Susan Barnes,\N,\N,actress,"tt0171580,tt0120179,tt0087995,tt0096256"
nm0451321,Shah Rukh Khan,1965,\N,"actor,producer,soundtrack","tt0238936,tt1285241,tt2176013,tt1188996"
nm0706787,Aishwarya Rai Bachchan,1973,\N,"actress,soundtrack,producer","tt0150992,tt0441048,tt0238936,tt0449994"
nm0802103,Chandrachur Singh,1968,\N,"actor,music_department,assistant_director","tt12448030,tt0250483,tt0151150,tt0116950"
nm2528716,Sharad S. Kapoor,1976,\N,"actor,assistant_director","tt4195276,tt0323013,tt1205586,tt0151150"
nm0000514,Michael Madsen,1957,\N,"actor,producer,writer","tt0105236,tt0119008,tt0266697,tt0103074"
nm0112915,L.P. Brown III,\N,\N,"actor,producer,writer","tt0109775,tt0153012,tt0153663,tt8269586"
nm0621008,Charles Napier,1936,2011,"actor,soundtrack,music_department","tt0102926,tt0118655,tt0089880,tt0080455"
nm0001397,Brion James,1945,1999,"actor,producer","tt0083658,tt0099044,tt0108238,tt0119116"
nm0000798,Linden Ashby,1960,\N,"actor,director","tt0111756,tt0432021,tt1567432,tt0113855"
nm0066664,Leslie Bega,\N,\N,"actress,miscellaneous,soundtrack","tt0141842,tt0113161,tt0247082,tt0090444"
nm0236952,Larry Drake,1949,2016,"actor,director","tt0087538,tt0104139,tt0099365,tt0090466"
nm0887708,Melvin Van Peebles,1932,2021,"actor,writer,director","tt0067810,tt0118460,tt0069996,tt0093300"
nm0000218,Kristin Scott Thomas,1960,\N,"actress,soundtrack,writer","tt1602613,tt0109831,tt0116209,tt0280707"
nm0000576,Sean Penn,1960,\N,"actor,producer,director","tt0112818,tt0327056,tt1013753,tt0315733"
nm0000843,Anne Bancroft,1931,2005,"actress,soundtrack,director","tt0119223,tt0061722,tt0076843,tt0056241"
nm0289038,James Fox,1939,\N,"actor,soundtrack","tt0367594,tt0087892,tt0203119,tt0988045"
nm0001794,Henry Thomas,1971,\N,"actor,producer,soundtrack","tt0217505,tt0083866,tt0110322,tt0331811"
nm0000657,David Strathairn,1949,\N,"actor,producer,soundtrack","tt0119488,tt0433383,tt0443272,tt0831387"
nm0786806,Cara Seymour,1964,\N,"actress,soundtrack","tt0128853,tt0395169,tt0144084,tt0268126"
nm0625280,Danny Nelson,\N,\N,actor,"tt0141098,tt0119668,tt0101921,tt0421715"
nm0440229,Vincent Kartheiser,1979,\N,actor,"tt0119630,tt1637688,tt0804503,tt0426883"
nm0159668,Chad Christ,1974,\N,actor,"tt0155776,tt0119177,tt0229003,tt0156020"
nm0802217,Sabine Singh,1974,\N,actress,"tt0244970,tt0395843,tt0156020,tt0065272"
